num,tempo_funcao,tempo_usuario,tempo_sistema
705,3.1e-06,0.015179,0.005709
706,5.7e-06,0.015179,0.005733
707,3.2e-06,0.015179,0.005752
708,3e-06,0.015179,0.005774
709,4e-06,0.015179,0.005791
710,3.9e-06,0.015179,0.005807
711,3.1e-06,0.015179,0.005823
712,3.1e-06,0.015179,0.005838
713,3.1e-06,0.015179,0.005853
714,3e-06,0.015179,0.005868
715,3.3e-06,0.015179,0.005892
716,3.2e-06,0.015179,0.005915
717,5.5e-06,0.015179,0.00594
718,3.3e-06,0.015179,0.005967
719,3.4e-06,0.015179,0.005984
720,3.3e-06,0.015179,0.006001
721,3.3e-06,0.015179,0.006019
722,3.2e-06,0.015179,0.006037
723,3.4e-06,0.015179,0.006058
724,3.4e-06,0.015179,0.006075
725,3.4e-06,0.015179,0.006092
726,3.4e-06,0.015179,0.00611
727,3.4e-06,0.015179,0.006129
728,3.4e-06,0.015179,0.006147
729,5.3e-06,0.015179,0.006167
730,3.2e-06,0.015179,0.006186
731,3.3e-06,0.015179,0.006205
732,3.2e-06,0.015179,0.006225
733,3.8e-06,0.015179,0.00625
734,3.8e-06,0.015179,0.00627
735,3.4e-06,0.015179,0.006288
736,3.4e-06,0.015179,0.006304
737,3.4e-06,0.015179,0.006323
738,3.4e-06,0.015179,0.006344
739,3.1e-06,0.015179,0.006363
740,3.2e-06,0.015179,0.006379
741,3.4e-06,0.015179,0.0064
742,3.4e-06,0.015179,0.006416
743,3.8e-06,0.015179,0.006434
744,3.5e-06,0.015179,0.006452
745,3.5e-06,0.015179,0.006469
746,3.5e-06,0.015179,0.006487
747,3.7e-06,0.015179,0.006505
748,3.5e-06,0.015179,0.006523
749,3.5e-06,0.015179,0.006541
750,3.5e-06,0.015179,0.006559
751,3.5e-06,0.015179,0.006576
752,3.7e-06,0.015179,0.006594
753,3.6e-06,0.015179,0.00661
754,3.5e-06,0.015179,0.006634
755,3.2e-06,0.015179,0.006651
756,3.4e-06,0.015179,0.006669
757,3.6e-06,0.015179,0.006686
758,3.5e-06,0.015179,0.006703
759,3.6e-06,0.015179,0.006721
760,3.5e-06,0.015179,0.006739
